target_id,p_joint,p_1d,p_2d,disagreement_1d,disagreement_2d
11974540,0.14281721,7.855692e-13,0.9999999,0.14281721,0.8571827
4157325,0.11682658,1.1893264e-06,1.0,0.11682539,0.8831734
7430034,0.12349783,2.5920149e-06,1.0,0.123495236,0.87650216
5640085,0.11816432,2.503262e-08,0.99999994,0.1181643,0.88183564
5709725,0.07268981,1.1433142e-13,1.0,0.07268981,0.92731017
4636578,0.09400409,3.2835616e-11,0.9990253,0.09400409,0.9050212
5695396,0.1187682,4.293431e-12,1.0,0.1187682,0.8812318
5511081,0.12270708,7.480247e-08,1.0,0.122707,0.87729293
6125481,0.22367126,3.1218313e-08,0.9997228,0.22367123,0.7760515
1718189,0.15576959,0.113312006,1.0,0.04245758,0.8442304
8636333,0.1494557,6.2596706e-11,1.0,0.1494557,0.85054433
8738735,0.1047601,1.259616e-10,1.0,0.1047601,0.8952399
7870390,0.18692797,0.009330441,0.99998677,0.17759754,0.8130588
11560897,0.11358802,4.2953072e-08,1.0,0.113587976,0.88641196
8611781,0.124607705,3.0228365e-11,1.0,0.124607705,0.8753923
6850504,0.10104775,1.8268418e-07,1.0,0.10104756,0.89895225
11968463,0.18517412,1.0,1.0,0.8148259,0.8148259
6584273,0.15809913,4.9844705e-11,0.99999964,0.15809913,0.8419005
4077526,0.072206326,8.254796e-37,0.99885315,0.072206326,0.9266468
8738775,0.09906384,6.7739165e-09,1.0,0.099063836,0.9009361
5269467,0.15408035,4.328936e-09,1.0,0.15408035,0.84591967
8007644,0.19401476,3.8571875e-06,0.99995494,0.1940109,0.80594015
5113822,0.09668574,0.00076294324,0.9999998,0.09592279,0.9033141
8394721,0.09255227,1.9619797e-15,1.0,0.09255227,0.90744776
9471974,0.12226717,2.37501e-15,0.99979955,0.12226717,0.87753236
3323887,0.105492085,0.0010551076,0.9976684,0.10443698,0.8921763
4472818,0.08363868,2.0236393e-10,1.0,0.08363868,0.91636133
7098355,0.15091729,0.98962605,1.0,0.83870876,0.8490827
4466677,0.08365482,1.7973e-06,1.0,0.083653025,0.9163452
11802615,0.055330932,1.6824362e-07,1.0,0.055330765,0.94466907
3561464,0.10631146,4.384613e-12,1.0,0.10631146,0.89368856
9480189,0.057322003,7.788834e-10,1.0,0.057322003,0.942678
