kepid,kepoi_name,koi_disposition
6880531,K01372.01,FALSE POSITIVE
6863839,K01373.01,FALSE POSITIVE
7296086,K01374.01,FALSE POSITIVE
8823426,K01259.01,FALSE POSITIVE
4070376,K01318.01,FALSE POSITIVE
4078157,K01319.01,FALSE POSITIVE
4480676,K01321.01,FALSE POSITIVE
4079535,K01322.01,FALSE POSITIVE
6774826,K01376.01,FALSE POSITIVE
5652237,K00164.01,FALSE POSITIVE
7375795,K01378.01,FALSE POSITIVE
7255336,K00019.01,FALSE POSITIVE
7802136,K01449.01,FALSE POSITIVE
9632895,K01451.01,FALSE POSITIVE
7449844,K01452.01,FALSE POSITIVE
8766222,K01260.01,FALSE POSITIVE
8703884,K01262.01,FALSE POSITIVE
8560840,K01263.01,FALSE POSITIVE
4551328,K01324.01,FALSE POSITIVE
4639868,K01326.01,FALSE POSITIVE
10555375,K00158.01,FALSE POSITIVE
4372768,K01327.01,FALSE POSITIVE
7375795,K01378.02,FALSE POSITIVE
7025526,K01380.01,FALSE POSITIVE
9451127,K01381.01,FALSE POSITIVE
9446824,K01382.01,FALSE POSITIVE
11044770,K00170.01,FALSE POSITIVE
11197126,K01443.01,FALSE POSITIVE
8552583,K01265.01,FALSE POSITIVE
8519253,K01267.01,FALSE POSITIVE
8757910,K01269.01,FALSE POSITIVE
4150539,K01330.01,FALSE POSITIVE
8953257,K01383.01,FALSE POSITIVE
8971432,K01384.01,FALSE POSITIVE
9278553,K01385.01,FALSE POSITIVE
9143254,K01386.01,FALSE POSITIVE
8949247,K01387.01,FALSE POSITIVE
12506351,K01446.01,FALSE POSITIVE
7622486,K01447.01,FALSE POSITIVE
7622486,K01447.02,FALSE POSITIVE
9705459,K01448.01,FALSE POSITIVE
8552498,K01272.01,FALSE POSITIVE
4285107,K01333.01,FALSE POSITIVE
4150624,K01334.01,FALSE POSITIVE
9346253,K01388.01,FALSE POSITIVE
9002237,K01389.01,FALSE POSITIVE
9288786,K01390.01,FALSE POSITIVE
8958035,K01391.01,FALSE POSITIVE
9040849,K01392.01,FALSE POSITIVE
7842610,K01453.01,FALSE POSITIVE
7830637,K01454.01,FALSE POSITIVE
8552565,K01277.01,FALSE POSITIVE
8937021,K01394.01,FALSE POSITIVE
9110357,K00016.01,FALSE POSITIVE
9157908,K01400.01,FALSE POSITIVE
