target_id,true_label_str,period,mean_confidence,max_disagreement,prob_1d,prob_2d
tess2024196212429,confirmed_planet,,0.564229,1.3906401097774506,1.0,0.0
tess2024223182411,confirmed_planet,,0.5905031,1.2931190431118011,1.0,0.0
tess2024196212429,confirmed_planet,,0.58884656,1.2113309651613235,1.0,0.0
tess2024223182411,confirmed_planet,,0.58807635,1.1097927168011665,1.0,0.03317999839782715
tess2024030031500,confirmed_planet,,0.5731655,1.1412980556488037,1.0,0.002516448497772217
tess2022190063128,confirmed_planet,,0.59126484,1.1542959362268448,1.0,0.014116883277893066
tess2024003055635,confirmed_planet,,0.5857905,1.3675894737243652,1.0,0.0
tess2024196212429,confirmed_planet,,0.59311986,1.096932403743267,1.0,0.04465365409851074
tess2024170053053,confirmed_planet,,0.5922328,1.2436541020870209,1.0,0.0
tess2024196212429,confirmed_planet,,0.58707553,1.3432399034500122,1.0,0.0
tess2024223182411,confirmed_planet,,0.61241037,1.1154326796531677,1.0,0.05469399690628052
tess2022164095748,confirmed_planet,,0.5722458,1.3035174310207367,1.0,0.0
tess2022190063128,confirmed_planet,,0.56226736,1.1499353647232056,1.0,0.0
tess2024170053053,confirmed_planet,,0.5529827,1.2353304326534271,1.0,0.0
tess2024003055635,confirmed_planet,,0.57915425,1.2013471871614456,1.0,0.0
tess2024170053053,confirmed_planet,,0.59029937,1.4356379508972168,1.0,0.0
tess2024223182411,confirmed_planet,,0.5901862,1.1038740202784538,1.0,0.038249194622039795
tess2024223182411,confirmed_planet,,0.59483695,1.2771047055721283,1.0,0.0
tess2024030031500,confirmed_planet,,0.5423132,1.3239275515079498,1.0,0.0
tess2021175071901,confirmed_planet,,0.5795508,1.2377393990755081,1.0,0.0
tess2024170053053,confirmed_planet,,0.5676093,1.2116093635559082,1.0,0.0
tess2024223182411,confirmed_planet,,0.5901902,1.081602282822132,1.0,0.049389004707336426
tess2021204101404,confirmed_planet,,0.58692896,1.2736695110797882,1.0,0.0
tess2021204101404,confirmed_planet,,0.58698213,1.1756150275468826,1.0,0.0
tess2024030031500,confirmed_planet,,0.57594514,1.2471125572919846,1.0,0.0
tess2024030031500,confirmed_planet,,0.62919974,1.2050607353448868,1.0,0.02666938304901123
tess2024030031500,confirmed_planet,,0.57675,1.306163638830185,1.0,0.0
tess2024196212429,confirmed_planet,,0.6260992,1.126618355512619,1.0,0.06279003620147705
tess2024196212429,confirmed_planet,,0.5851324,1.275997668504715,1.0,0.0
tess2024223182411,confirmed_planet,,0.5785647,1.143727958202362,1.0,0.006700694561004639
tess2024196212429,confirmed_planet,,0.6070619,1.2243729084730148,1.0,0.0
tess2024196212429,confirmed_planet,,0.588646,1.1862873435020447,1.0,0.0
tess2024223182411,confirmed_planet,,0.635078,1.3661670088768005,1.0,0.0
tess2024003055635,confirmed_planet,,0.58987683,1.4248823821544647,1.0,0.0
tess2024003055635,confirmed_planet,,0.5937396,1.1803463101387024,1.0,0.0035665035247802734
tess2024223182411,confirmed_planet,,0.5972746,1.3968952894210815,1.0,0.0
tess2024170053053,confirmed_planet,,0.58303636,1.195795401930809,1.0,0.0
tess2024003055635,confirmed_planet,,0.58518755,1.1434964835643768,1.0,0.013439297676086426
tess2024170053053,confirmed_planet,,0.54755247,1.1833466440439224,1.0,0.0
tess2024223182411,confirmed_planet,,0.6059179,1.1254595816135406,1.0,0.04318809509277344
tess2024030031500,confirmed_planet,,0.5851195,1.1376525610685349,1.0,0.016293227672576904
tess2024003055635,confirmed_planet,,0.55541795,1.0953096896409988,1.0,0.007763087749481201
tess2022164095748,confirmed_planet,,0.58752894,1.1844391077756882,1.0,0.0
tess2021175071901,confirmed_planet,,0.5859262,1.4468959867954254,1.0,0.0
tess2022190063128,confirmed_planet,,0.5945902,1.2203651666641235,1.0,0.0
tess2021175071901,confirmed_planet,,0.57063735,1.538225531578064,1.0,0.0
tess2022217014003,confirmed_planet,,0.5884407,1.1890319287776947,1.0,0.0
tess2022164095748,confirmed_planet,,0.5825027,1.0119562894105911,1.0,0.07652455568313599
tess2021175071901,confirmed_planet,,0.5742858,1.307402491569519,1.0,0.0
tess2024223182411,confirmed_planet,,0.59418845,1.2316566556692123,1.0,0.0
tess2024030031500,confirmed_planet,,0.552866,1.093592643737793,1.0,0.006069660186767578
tess2024196212429,confirmed_planet,,0.5836332,1.1962207108736038,1.0,0.0
tess2024196212429,confirmed_planet,,0.5626667,1.302550494670868,1.0,0.0
tess2024170053053,confirmed_planet,,0.52406067,1.4269123077392578,1.0,0.0
tess2024170053053,confirmed_planet,,0.57885736,1.1157706826925278,1.0,0.020972013473510742
tess2024196212429,confirmed_planet,,0.5543837,1.5122071504592896,1.0,0.0
tess2024058030222,confirmed_planet,,0.5418967,1.3332405984401703,1.0,0.0
tess2022164095748,confirmed_planet,,0.5332054,1.3977809846401215,1.0,0.0
tess2024170053053,confirmed_planet,,0.5756736,1.3649337589740753,1.0,0.0
tess2024030031500,confirmed_planet,,0.5784871,1.057344976812601,1.0,0.049814581871032715
tess2024196212429,confirmed_planet,,0.62079924,1.3144481778144836,1.0,0.0
tess2024030031500,confirmed_planet,,0.592337,1.24215966463089,1.0,0.0
tess2024196212429,confirmed_planet,,0.62546116,1.240282103419304,1.0,0.005320131778717041
tess2024196212429,confirmed_planet,,0.5750499,1.2901597023010254,1.0,0.0
tess2024030031500,confirmed_planet,,0.61545336,1.196929156780243,1.0,0.016988754272460938
tess2024003055635,confirmed_planet,,0.573309,1.4000541269779205,1.0,0.0
