target_id,true_label,period,p_joint,p_1d,p_2d,disagreement
10795103,false_positive,21.12024956442871,0.23965465,0.9513847231864929,0.0,0.9513847231864929
11449844,false_positive,11.338991926756785,0.6002556,1.0,0.0,1.0
10123064,false_positive,16.81767778142601,0.15000154,0.8493723273277283,0.0,0.8493723273277283
10253547,false_positive,9.302109544031277,0.104153246,0.8227580785751343,0.0,0.8227580785751343
10004519,false_positive,9.803106229929941,0.21211872,0.7487938404083252,0.0,0.7487938404083252
10153855,false_positive,11.91225998518465,0.040309,0.6962087750434875,0.0,0.6962087750434875
11187837,false_positive,17.600829124940628,0.27745664,1.0,0.0,1.0
11253711,false_positive,12.123548077327326,0.09437736,0.7016781568527222,0.0,0.7016781568527222
10358759,false_positive,10.330557670377706,0.5159851,1.0,0.0,1.0
10130039,false_positive,10.753405142342332,0.52605164,1.0,0.0,1.0
10328458,false_positive,12.17911101661662,0.17951638,0.778306782245636,0.0,0.778306782245636
11015323,false_positive,34.19304568290886,0.18953578,0.7534632682800293,0.0,0.7534632682800293
10330115,false_positive,20.455923694294288,0.09941861,0.6573941707611084,0.0,0.6573941707611084
11623629,false_positive,10.557283288288279,0.52124757,1.0,0.0,1.0
11394027,false_positive,16.035769271312585,0.083615676,0.6816513538360596,0.0,0.6816513538360596
10290666,false_positive,5.465248493693693,0.124244615,0.6548072695732117,0.0,0.6548072695732117
11342416,false_positive,2.180020562362364,0.17848608,0.8491287231445312,0.0,0.8491287231445312
10098844,false_positive,1.8599042357152207,0.24144888,0.8713900446891785,0.0,0.8713900446891785
10982872,false_positive,4.756680420953948,0.48286062,1.0,0.0,1.0
10879038,false_positive,38.471746439871474,0.23316908,0.8802183866500854,0.0,0.8802183866500854
10028535,false_positive,23.5180284296198,0.064928666,0.6123553514480591,0.0,0.6123553514480591
10905746,false_positive,15.0792973867392,0.46530387,1.0,0.0,1.0
10554999,false_positive,44.35151537762431,0.27706215,0.9553107023239136,0.0,0.9553107023239136
10963065,false_positive,36.198210245061134,0.119274125,0.8278841376304626,0.0,0.8278841376304626
10141900,false_positive,39.49593091611613,0.21996865,0.8243858814239502,0.0,0.8243858814239502
11568987,false_positive,14.157313102102098,0.12175657,0.8938459157943726,0.0,0.8938459157943726
11414511,false_positive,5.633834125225223,0.042880572,0.6375786662101746,0.0,0.6375786662101746
11295426,false_positive,5.398838440440441,0.38313094,0.9547379016876221,0.0,0.9547379016876221
10604335,false_positive,8.602387138138136,0.12481986,0.8279852271080017,0.0,0.8279852271080017
10397751,false_positive,11.205320918018034,0.15358704,0.7571962475776672,0.0,0.7571962475776672
