target_id,period,true_label,prob_joint,prob_1d,prob_2d,disagreement
10189546,18.154645045742654,0,0.59273756,0.33792233,0.43987325,0.10195091
11389771,15.013908393402895,0,0.16117086,0.17421153,0.09925638,0.07495515
11509504,2.7720480960027922,0,0.21731204,0.20354834,0.11787769,0.08567065
11547505,19.921513592215124,0,0.18387032,0.15687968,0.12933,0.027549684
10158729,23.36636813666401,0,0.23687151,0.2931831,0.0769299,0.21625319
10723367,27.979685687950614,0,0.3344856,0.32280105,0.11955016,0.20325089
10600261,17.309723511473464,0,0.27560326,0.28824228,0.10198335,0.18625893
11134879,20.78150988550172,0,0.08140699,0.0677575,0.12771378,0.059956282
10975146,13.958957491441453,0,,0.14228135,,
10925104,10.128268572322341,0,,0.23307699,,
10599206,48.766582904010825,0,0.17797685,0.19098261,0.0996508,0.09133181
10404582,25.151367973605446,0,0.20093554,0.21273357,0.10107957,0.111654
10854768,10.118329781487446,0,0.15331186,0.17576209,0.092440195,0.08332189
11236244,2.9906536829829795,0,,0.16666171,,
11100383,4.311952687037036,0,,0.08714649,,
11498128,32.628157446058644,0,0.20782489,0.19859275,0.11482784,0.08376491
11497958,29.578607513856742,0,0.11095976,0.13144729,0.09039702,0.041050263
10793172,9.141565506896939,0,0.27950794,0.19782425,0.1630787,0.03474556
10272640,2.9783870078078043,0,,0.17497225,,
10154388,28.136685144024753,0,0.15290216,0.13926566,0.11865462,0.020611033
11656918,14.66728831607947,0,0.15869103,0.1707359,0.099598214,0.07113768
10686864,14.654511510587707,0,0.13838255,0.1218217,0.122357294,0.00053559244
11090556,43.077939751775794,0,0.10809921,0.15307519,0.073958375,0.079116814
10332883,18.878714971015857,0,0.12808144,0.09207266,0.14818402,0.056111358
11499192,8.854299204759764,0,0.16157095,0.17585659,0.098742455,0.077114135
10064256,2.9883831363863864,0,,0.030989919,,
10059645,17.69104610782364,0,0.1381224,0.14704128,0.10105104,0.045990236
10019708,2.984007194694695,0,,0.16594106,,
11650401,4.707077963376245,0,0.14487737,0.14333507,0.1096583,0.033676773
10272442,2.319687251878068,0,0.18369731,0.17935802,0.1111609,0.06819712
10908248,33.8559442485796,0,0.19112737,0.17675246,0.1183116,0.058440864
10872983,5.547767547198974,0,0.20704925,0.16132647,0.14190455,0.01942192
10526887,15.86271290549709,0,0.13457939,0.16427837,0.08724243,0.07703594
10024701,9.928319567881678,0,0.05450696,0.053680427,0.108840585,0.055160157
10586208,23.603399728432862,0,0.21171512,0.20416118,0.113650575,0.09051061
10136549,9.685893771241561,0,0.55423194,0.22779705,0.44418487,0.21638782
11337566,11.611743983578716,0,0.15999366,0.14367786,0.120777644,0.022900216
10790387,6.39409046651418,0,0.10662144,0.16434978,0.06575807,0.09859171
10973814,44.869377100101765,0,0.16319227,0.15276542,0.116334856,0.036430568
11512246,10.73282362867986,0,0.03592905,0.032578178,0.11722633,0.084648155
11308499,12.516999182519735,0,0.067950144,0.054802176,0.1312633,0.07646112
10730034,13.071200538405126,0,0.12847088,0.1313406,0.1051777,0.026162893
10973664,10.588234675514196,0,0.0918283,0.101744905,0.09700693,0.004737973
10063802,9.937259754122785,0,0.12289685,0.12293698,0.10743656,0.015500419
11336883,11.960195849252532,0,0.05941219,0.026048526,0.22137433,0.1953258
11017901,6.518479704705402,0,0.10056834,0.08771784,0.122631036,0.034913197
10006581,40.12275036733438,0,0.021809276,0.044258226,0.055786554,0.011528328
10676014,10.711429096602497,0,0.07287881,0.058816638,0.13117269,0.072356045
10022908,34.27977656022568,0,0.1814644,0.13538666,0.14620526,0.010818601
10965008,7.560409260812063,0,0.22764206,0.21009481,0.11970711,0.0903877
11403389,43.31459357166458,0,0.052886046,0.055430457,0.10264951,0.047219053
10227020,12.562493058758717,0,,0.38577056,,
11129738,9.184471306809527,0,0.103747584,0.15392172,0.06996712,0.0839546
10468940,9.148420349686305,0,0.08468362,0.101669356,0.089537136,0.01213222
11135308,1.7265796809942828,0,0.16117366,0.16357102,0.10658529,0.05698573
10513530,16.55850961767973,0,0.26794624,0.27875137,0.10246598,0.17628539
11502867,12.301324091941943,0,,0.18211648,,
11521793,38.3286486460208,0,0.19488041,0.2256442,0.09046385,0.13518035
10001893,13.948931951422777,0,0.54117435,0.22526957,0.41813746,0.19286789
11415243,26.80682897078005,0,0.05609658,0.048716374,0.12228848,0.07357211
11611600,14.73136572820008,0,0.13491908,0.12431178,0.11685461,0.0074571744
11019987,13.365043957241147,0,0.12829448,0.1418442,0.09699384,0.044850357
10453588,22.810940230713292,0,0.24139994,0.24235466,0.10843969,0.13391498
11361646,9.209592104604733,0,0.48271042,0.27768332,0.265304,0.0123793185
10089911,1.7688427839926542,0,0.09838932,0.12092122,0.0871987,0.03372252
10615440,41.631615557086484,0,0.18535613,0.16213304,0.12486052,0.03727252
10460984,2.9862652990991005,0,,0.30301216,,
11189311,37.375443228685256,0,0.05044388,0.055722572,0.09769204,0.04196947
11444514,11.381600541931677,0,0.26437077,0.23931098,0.124837406,0.114473574
10854546,30.38578115609848,0,0.14843519,0.15978827,0.099848196,0.05994007
10055126,9.76550967315799,0,0.115331724,0.086352214,0.14227773,0.05592552
10880507,5.6689875922538935,0,0.061840277,0.06938597,0.096122764,0.026736796
11455428,11.256682098027118,0,0.07189804,0.06679027,0.11507706,0.048286796
11450414,12.819275829363427,0,0.029148435,0.029030286,0.107717186,0.0786869
11401767,6.851486929467501,0,0.5773845,0.31832597,0.39126,0.07293403
10212441,13.145657828977669,0,0.1231572,0.13344516,0.099002294,0.034442864
10350571,14.393483878939696,0,0.14453763,0.15276995,0.10190311,0.050866842
10585852,1.4541006090191468,0,0.3387347,0.22206923,0.18151107,0.04055816
10337517,34.992281547881056,0,0.17474878,0.19860388,0.09246822,0.10613567
10881457,15.367641788384873,0,0.18623826,0.17784655,0.11454583,0.06330072
11337833,35.02388531434684,0,0.09882603,0.09673975,0.109683484,0.012943737
10990917,33.4801440107949,0,0.20907278,0.16073437,0.14344911,0.017285258
11194032,33.45151176893706,0,0.11338532,0.09293272,0.13049875,0.03756603
11569782,15.71322664950471,0,0.0149833355,0.018922092,0.086722076,0.067799985
11254382,40.49230786033623,0,0.10535492,0.13454548,0.083379455,0.05116602
11244682,4.201171896350555,0,0.03449247,0.034218494,0.1080804,0.07386191
11037818,13.478122028999564,0,0.28729653,0.28660873,0.111732066,0.17487666
10585738,2.981428638638641,0,,0.16133063,,
11614617,24.793815191831065,0,0.26199555,0.2557085,0.11333311,0.14237538
11075429,2.9814245139639612,0,,0.13233642,,
11284772,21.128992461701145,0,0.079108916,0.08812742,0.09660855,0.00848113
11410904,11.403989530194584,0,0.106868625,0.090040565,0.12681276,0.03677219
11177676,11.308150567185484,0,0.12092842,0.12564278,0.10342501,0.022217765
11043167,15.877348760826862,0,0.10029267,0.12158424,0.08839069,0.033193544
10730703,16.159703998783968,0,0.21752554,0.13271433,0.1797705,0.04705617
10024051,16.704631394336808,0,0.14702038,0.1383524,0.11528444,0.023067951
11193263,11.644830625625634,0,0.05626024,0.082220994,0.07413743,0.008083567
11600889,30.727843559089095,0,0.08498131,0.0933765,0.09786431,0.004487805
11518142,39.41245833110525,0,0.11738247,0.14125188,0.08875861,0.052493267
10600955,12.689207574269155,0,0.15804288,0.1534878,0.111634515,0.041853286
11176166,9.899355527543738,0,0.22307582,0.2495336,0.09101908,0.15851451
