file,transit_count,period,radius_earth,semi_major_axis_au,equilibrium_temp_k,size_category,period_category
,1,12.71,1.15,,,Earth-sized,10-30 days
,1,20.89,4.77,,,Jupiter-sized,10-30 days
,1,8.27,190.98,,,Super-Jupiter,3-10 days
,1,7.8,400.03,,,Super-Jupiter,3-10 days
,1,11.17,2.98,,,Neptune-sized,10-30 days
,1,11.81,5.79,,,Jupiter-sized,10-30 days
,1,54.36,2.16,,,Neptune-sized,30-100 days
,1,10.04,167.74,,,Super-Jupiter,10-30 days
,1,24.44,7.3,,,Jupiter-sized,10-30 days
,1,14.42,2.96,,,Neptune-sized,10-30 days
,1,16.55,306.81,,,Super-Jupiter,10-30 days
,1,2.66,222.89,,,Super-Jupiter,<3 days
,1,49.04,5.95,,,Jupiter-sized,30-100 days
,1,9.56,194.26,,,Super-Jupiter,3-10 days
,1,70.08,7.66,,,Jupiter-sized,30-100 days
,1,4.25,512.41,,,Super-Jupiter,3-10 days
,1,36.43,9.55,,,Jupiter-sized,30-100 days
,1,6.13,156.94,,,Super-Jupiter,3-10 days
,1,13.05,3945.15,,,Super-Jupiter,10-30 days
,1,8.74,303.72,,,Super-Jupiter,3-10 days
,1,1.12,7.93,,,Jupiter-sized,<3 days
,1,37.97,244.66,,,Super-Jupiter,30-100 days
,1,7.05,900.66,,,Super-Jupiter,3-10 days
,1,6.98,187.76,,,Super-Jupiter,3-10 days
,1,16.21,7.41,,,Jupiter-sized,10-30 days
,1,2.82,205.01,,,Super-Jupiter,<3 days
,1,8.42,3.65,,,Neptune-sized,3-10 days
,1,29.27,6.3,,,Jupiter-sized,10-30 days
,1,37.01,8.83,,,Jupiter-sized,30-100 days
,1,11.1,160.5,,,Super-Jupiter,10-30 days
,1,4.95,313.28,,,Super-Jupiter,3-10 days
,1,11.63,768.96,,,Super-Jupiter,10-30 days
,1,9.95,539.88,,,Super-Jupiter,3-10 days
,1,10.69,200.85,,,Super-Jupiter,10-30 days
,1,10.48,151.12,,,Super-Jupiter,10-30 days
,1,47.92,9.35,,,Jupiter-sized,30-100 days
,1,2.95,83.21,,,Super-Jupiter,<3 days
,1,1.62,131.86,,,Super-Jupiter,<3 days
,1,6.83,149.41,,,Super-Jupiter,3-10 days
,1,12.9,222.37,,,Super-Jupiter,10-30 days
,1,2.71,68.28,,,Super-Jupiter,<3 days
,1,28.03,297.58,,,Super-Jupiter,10-30 days
,1,2.25,1232.41,,,Super-Jupiter,<3 days
,1,38.03,9.09,,,Jupiter-sized,30-100 days
,1,11.03,3519.42,,,Super-Jupiter,10-30 days
,1,8.87,147.1,,,Super-Jupiter,3-10 days
,1,9.42,152.88,,,Super-Jupiter,3-10 days
,1,32.3,3.31,,,Neptune-sized,30-100 days
,1,9.66,89.86,,,Super-Jupiter,3-10 days
,1,8.03,4.8,,,Jupiter-sized,3-10 days
,1,5.04,8.86,,,Jupiter-sized,3-10 days
,1,9.39,363.69,,,Super-Jupiter,3-10 days
,1,46.13,8.2,,,Jupiter-sized,30-100 days
,1,18.55,762.6,,,Super-Jupiter,10-30 days
,1,1.76,93.45,,,Super-Jupiter,<3 days
,1,11.92,3.02,,,Neptune-sized,10-30 days
,1,90.16,6.91,,,Jupiter-sized,30-100 days
,1,8.23,217.21,,,Super-Jupiter,3-10 days
,1,2.95,99.4,,,Super-Jupiter,<3 days
,1,55.79,6.1,,,Jupiter-sized,30-100 days
,1,67.4,2.45,,,Neptune-sized,30-100 days
,1,13.21,168.67,,,Super-Jupiter,10-30 days
,1,23.54,1.52,,,Super-Earth,10-30 days
,1,7.6,194.54,,,Super-Jupiter,3-10 days
,1,57.82,3.05,,,Neptune-sized,30-100 days
,1,67.95,7.25,,,Jupiter-sized,30-100 days
,1,1.46,1113.11,,,Super-Jupiter,<3 days
,1,77.36,5.92,,,Jupiter-sized,30-100 days
,1,1.95,8.82,,,Jupiter-sized,<3 days
,1,6.46,311.53,,,Super-Jupiter,3-10 days
,1,42.16,387.43,,,Super-Jupiter,30-100 days
,1,13.35,355.09,,,Super-Jupiter,10-30 days
,1,9.12,155.03,,,Super-Jupiter,3-10 days
,1,60.57,9.37,,,Jupiter-sized,30-100 days
,1,42.6,4.66,,,Jupiter-sized,30-100 days
,1,64.13,9.0,,,Jupiter-sized,30-100 days
,1,1.9,204.99,,,Super-Jupiter,<3 days
,1,5.12,101.45,,,Super-Jupiter,3-10 days
,1,2.5,1060.88,,,Super-Jupiter,<3 days
,1,10.78,9.32,,,Jupiter-sized,10-30 days
,1,9.69,323.23,,,Super-Jupiter,3-10 days
,1,5.92,209.21,,,Super-Jupiter,3-10 days
,1,9.24,363.41,,,Super-Jupiter,3-10 days
,1,30.95,3.38,,,Neptune-sized,30-100 days
,1,10.16,153.16,,,Super-Jupiter,10-30 days
,1,15.43,990.13,,,Super-Jupiter,10-30 days
,1,93.0,6.98,,,Jupiter-sized,30-100 days
,1,60.64,2.06,,,Neptune-sized,30-100 days
