target_id,period
403287048,7.00776
269238073,6.1461734
366074069,4.1812866
367102581,2.9798592
387413037,6.72694
314338017,10.9554897
276380902,0.6171788
313761775,1.5309799
202375913,5.0625809
285543785,9.9385448
312259170,0.8229
231081369,7.6316384
312469860,0.50261
312678993,0.5175204
327579226,8.905407
345143460,3.6458046
345143460,8.0637954
354600221,1.41853
420288086,6.5344463
118301361,3.46608
101037590,8.7094632
125735470,4.7126743
26433869,1.0357235
138017750,2.4727425
229951289,13.3118
348770361,2.7684331
219776325,2.5287981
264678534,16.2016817
268403451,2.8641388
272625214,5.2469991
317397615,0.7438074
317507345,3.9401791
322054600,1.3433022
322202434,1.4013505
376838000,2.1679
377144784,2.3866952
99493790,7.764691
378291076,1.5982014
387260717,6.453624
388076005,1.7126115
407394748,0.7522775
461387302,5.8089284
470852531,1.49446
157586003,3.3326189
424435940,5.0172146
284475976,2.1436364
310003988,4.5421594
179317684,4.2311173
317597583,12.0557353
29054413,15.2521892
51024887,8.2491871
165551882,12.1582804
201186294,0.98933
230086768,34.9270483
269892793,1.7729239
286355915,4.076684
312862941,0.9150623
348673213,0.901465
79395355,7.31898
396562848,1.9495403
422923265,1.8646725
229940491,37.4590076
298647682,20.0795217
22843856,1.8497201
184679932,2.1721416
387527558,3.623909
154927364,6.9744232
376353509,7.3315684
116608612,3.4557863
350743714,7.757643
122485078,9.1505
138168780,3.7649949
50120414,3.581083
52041724,35.4028219
394657039,3.7628372
71854745,3.10315
82010657,
186599508,5.6318074
192372961,2.06313
201154493,1.51233
385105624,1.7498117
431899140,1.9734615
68152139,0.73772
67418624,1.1020719
129979528,1.2198382
253917293,4.608
187029841,0.361112
139375960,5.33155
129991079,6.15952
73448352,4.7321735
428679607,2.6800536
149990841,4.4531846
441739020,40.7501028
441739020,10.9836724
441739020,123.0586028
459903429,8.13664
468828873,3.8954139
470315428,1.08625
73104318,7.45494
81831095,3.133084
8400842,3.1915257
87090944,0.6435807
96291218,13.7058173
9837861,0.6565741
369457671,2.31446
259168516,4.8026561
321041369,1.5379237
367366318,2.7347651
58542531,3.057524
85031598,1.1549925
28900646,0.6691449
102672709,6.7053949
103448870,10.2596322
121966220,6.7171913
198384408,9.1238101
183120439,2.2554459
267574918,1.4079369
268334473,16.7368995
288636342,17.7286608
288636342,32.2079698
353475866,1.766692
396740648,3.7701296
422756130,3.1342946
470381900,2.5005291
154867950,0.6664948
156724719,10.9568722
258829450,1.8347892
266500992,3.2786617
267694283,1112.7562924
27677846,5.6309047
286561122,0.6803433
288631580,5.8775548
288631580,3.3985674
147203645,5.0611315
311121985,1.3561596
312122956,2.0492064
339538183,2.6093167
353367071,2.37532
353782445,11.835079
354006740,1.76406
368536386,1.69433
409183335,3.32125
417705690,2.363311
461662295,10.2558
67926921,3.566276
15863518,0.5572565
239154970,3.4744763
142090065,2.8269356
14336130,8.082354
149833117,4.052389
257241363,5.5870396
293617835,2.7552586
29857954,9.47686
356473034,2.6158597
51234631,4.1250429
85242435,9.6052235
71431780,13.7270395
81212286,0.6850808
86396382,1.0914304
130181866,7.107934
130181866,20.5438153
241225337,1.8308782
285048486,3.4913952
298666530,0.5732087
270341214,29.7537451
270341214,9.1702265
318022259,6.2262315
318022259,2.1555232
318022259,12.5739572
371234684,3.9228042
470987100,4.1192231
53427308,5.80322
224596152,28.8745078
365673804,10.3857602
408618999,7.0731057
233009109,14.4479828
104208182,3.6985817
159418353,8.3033493
425997655,17.6671687
425997655,29.7975205
425997655,12.1623316
425997655,3.9766833
425997655,7.9076222
174041208,19.428419
198206613,10.9406641
219857012,21.2690422
219860288,4.2660553
229455001,22.3417286
232635922,5.984871
232650365,2.5253323
232650365,3.8776815
233071822,2.7546548
233071926,1.8318623
233602827,4.4891367
1884091865,10.716524
190223929,17.04198
22705558,4.5470055
394698182,3.7115129
23650642,1.12355
274215536,1.3341738
371210825,0.40312
453387619,1.2016105
95129101,3.929983
137500798,13.2054538
230377505,4.5156072
230377505,7.4057777
240148934,2.02365
241173474,11.44192
29119552,7.6288424
309257814,1.238601
309257814,1.8135767
445805961,24.2833782
408636441,18.8500438
272086159,16.155373
420112587,11.062666
424391516,11.5922513
435680451,24.141229
441739871,3.797872
1551345500,47.3860753
272672133,3.493958
67666096,2.7033942
8767448,4.3532339
137906197,7.3377236
287225295,0.6097554
262530407,2.8531016
457138169,1.0924536
252479260,3.2122302
85293053,8.0542207
85293053,
332064670,0.7365463
4897275,16.7100422
9348006,10.2405483
21535395,2.8009915
29191624,14.6503935
39699648,6.5273884
67646988,1.8817191
251848941,6.5578513
251848941,20.708504
251848941,9.9616347
251848941,3.2384253
251848941,15.2321843
99834717,1.7063264
137881699,2.9720774
160045097,4.9877056
160045097,1.8290294
160045097,18.7559765
229938290,1.4198659
241196395,2.0937563
230386259,11.0023133
86280613,9.573548
372730331,8.7046669
450327768,5.34326
172518755,3.2087149
207141131,4.1374379
310981412,9.62517
233684293,48.4808217
29191596,8.8164887
304142124,55.087
286916251,8.7655468
135083444,2.7917911
138819293,2.6438856
368435330,3.6451549
233602827,9.0447039
233602827,2.3889051
307210830,3.6906759
307210830,7.4507305
307210830,2.2531062
237099296,11.3373614
287080092,37.4685042
287139872,0.9351891
287139872,32.7135406
289580577,5.3846239
332477926,16.2143217
356978132,60.1848926
364074068,2.7830114
367753709,2.125687
367753709,5.0097113
367858035,20.7051499
307734817,2.1075001
347329162,4.6170519
76923707,4.5320502
373693175,1.3273482
376524552,3.7130701
207425167,
207425167,11.6098182
207425167,48.3320223
377290815,0.798
160440924,6.3684627
233720539,2.555332
237108272,22.7873
285094173,13.3983724
330799746,5.5115114
341815767,3.09374
76989773,1.7691703
393831507,4.860673
82308728,9.4893231
9392421,9.6136615
142381532,38.8135498
142387023,22.8085719
229750058,10.1824299
229400092,4.1419805
390651552,1.467119
232982938,9.0941239
235905185,6.2895835
183979262,3.4307565
20182165,9.7815625
27194429,0.5553244
307956397,4.1508569
61098812,3.6935997
71612483,1.2164402
347332255,5.6419598
347332255,
207468071,20.3807824
207468071,1.7727505
144441148,5.8182239
162689341,2.1747062
381714186,1.4238067
300871545,4.8170684
165987272,7.8456075
168699373,4.3011975
404505029,9.5739531
258871793,9.1469122
198108326,3.2130578
272758199,3.6610026
198385543,3.9306746
54002556,35.4557945
54002556,12.7645811
219824469,5.4809161
23740089,9.862756
368435330,1.0376109
198153540,8.0214735
198153540,0.4378083
8967242,7.093853
51912829,0.8353899
17993892,4.1244833
119584412,10.6439385
138762614,16.7961107
144401492,12.8858629
144401492,6.2932111
148679712,4.9246365
